artiste,titre,weight
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",1130815
Drake & Future,Jumpman,394497
Drake & Future,Big Rings,205897
Drake & Future,Digital Dash,260553
Drake & Future,Diamonds Dancing,255089
Drake & Future,Scholarships,215572
Drake & Future,Live from the Gutter,182270
Drake & Future,Plastic Bag,180062
Drake & Future,I'm the Plug,148669
Drake & Future,Change Locations,140897
Drake & Future,Jersey,46116
Bryson Tiller,Don't,18094949
Bryson Tiller,Exchange,9723044
Bryson Tiller,Right My Wrongs,9348752
Bryson Tiller,Whatever She Wants,5950990
Bryson Tiller,Sorrows,7838570
Bryson Tiller,Let Em' Know,6132924
Bryson Tiller,Sorry Not Sorry,2870141
Bryson Tiller,Let Me Explain,2625213
Bryson Tiller,Next To You,2695819
Bryson Tiller,Outta Time (feat. Drake),2351799
Lil Baby,Drip Too Hard (Lil Baby & Gunna),12064624
Lil Baby,Yes Indeed,8972408
Lil Baby,Freestyle,11129960
Lil Baby,Pure Cocaine,8814398
Lil Baby,Life Goes On,6003800
Lil Baby,Sum 2 Prove,5028063
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)",4574406
Lil Baby,We Paid (feat. 42 Dugg),4580729
Lil Baby,Low Down,3930105
Lil Baby,Stuff (feat. Travis Scott),3377956
Gunna,fukumean,13933888
Gunna,one of wun,8060508
Gunna,P power (feat. Drake),9097557
Gunna,on one tonight,6892871
Gunna,pushin P (feat. Young Thug),6056502
Gunna,Who You Foolin,5778113
Gunna,hakuna matata,4299782
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),5572566
Gunna,Drip or Drown,4151971
Gunna,banking on me,3850573
"The Good, the Bad & the Queen",History Song,1131149
"The Good, the Bad & the Queen",Herculean,944114
"The Good, the Bad & the Queen",Kingdom of Doom,920831
"The Good, the Bad & the Queen",Northern Whale,789625
"The Good, the Bad & the Queen",Behind the Sun,622832
"The Good, the Bad & the Queen",Green Fields,624376
"The Good, the Bad & the Queen",Nature Springs,601063
"The Good, the Bad & the Queen",The Bunting Song,549611
"The Good, the Bad & the Queen",A Soldier's Tale,526225
"The Good, the Bad & the Queen",Three Changes,507545
Damon Albarn,Closet Romantic,450522
Damon Albarn,Everyday Robots,836851
Damon Albarn,Lonely Press Play,754147
Damon Albarn,Mr Tembo,619241
Damon Albarn,Hostiles,510948
Damon Albarn,The Selfish Giant,538885
Damon Albarn,Heavy Seas of Love,461377
Damon Albarn,Parakeet,345428
Damon Albarn,Hollow Ponds,328075
Damon Albarn,You & Me,356299
Foster the People,Pumped Up Kicks,31441118
Foster the People,Houdini,9652478
Foster the People,Helena Beat,8217752
Foster the People,Call It What You Want,6446306
Foster the People,Don't Stop (Color on the Walls),5015847
Foster the People,I Would Do Anything for You,5134906
Foster the People,Waste,4634447
Foster the People,Sit Next to Me,4867774
Foster the People,Miss You,2966563
Foster the People,Imagination,3762638
LCD Soundsystem,All My Friends,7758290
LCD Soundsystem,Dance Yrself Clean,7803226
LCD Soundsystem,Daft Punk Is Playing at My House,4615909
LCD Soundsystem,Someone Great,5887421
LCD Soundsystem,I Can Change,5094882
LCD Soundsystem,North American Scum,3486358
LCD Soundsystem,"New York, I Love You But You're Bringing Me Down",3904399
LCD Soundsystem,Tribulations,3265804
LCD Soundsystem,Time to Get Away,2399079
LCD Soundsystem,Drunk Girls,2682016
Twenty One Pilots,Stressed Out,22659752
Twenty One Pilots,Ride,16523955
Twenty One Pilots,Heathens,13259814
Twenty One Pilots,Tear in My Heart,12146451
Twenty One Pilots,Chlorine,9741911
Twenty One Pilots,Heavydirtysoul,9011965
Twenty One Pilots,Doubt,8016404
Twenty One Pilots,Car Radio,8472070
Twenty One Pilots,House of Gold,5666587
Twenty One Pilots,My Blood,7287944
Beck,Loser,13167122
Beck,E-Pro,4225746
Beck,Girl,3693140
Beck,Gamma Ray,3505217
Beck,Lost Cause,3295598
Beck,Where It's At,2312916
Beck,Devils Haircut,2004079
Beck,The New Pollution,1819343
Beck,Go It Alone,1869907
Beck,The Golden Age,1974670
FINNEAS,Let's Fall in Love for the Night,5579388
FINNEAS,Break My Heart Again,3934422
FINNEAS,I Lost a Friend,2619847
FINNEAS,For Cryin' Out Loud!,2221751
FINNEAS,I Don't Miss You at All,1506022
FINNEAS,Angel,1243524
FINNEAS,Partners in Crime,1204961
FINNEAS,What They'll Say About Us,929267
FINNEAS,Die Alone,942225
FINNEAS,Lotus Eater,779255
Olivia Rodrigo,good 4 u,36841172
Olivia Rodrigo,deja vu,31654098
Olivia Rodrigo,drivers license,31589396
Olivia Rodrigo,vampire,34973109
Olivia Rodrigo,traitor,26259791
Olivia Rodrigo,"jealousy, jealousy",25757563
Olivia Rodrigo,brutal,23770102
Olivia Rodrigo,favorite crime,26636691
Olivia Rodrigo,bad idea right?,26221376
Olivia Rodrigo,happier,19409229
Melanie Martinez,Play Date,10678306
Melanie Martinez,Pacify Her,9243171
Melanie Martinez,Dollhouse,6994304
Melanie Martinez,Pity Party,7819372
Melanie Martinez,Training Wheels,8857103
Melanie Martinez,Soap,7236291
Melanie Martinez,Cake,7117827
Melanie Martinez,Teacher's Pet,7634154
Melanie Martinez,Mad Hatter,6435783
Melanie Martinez,"Tag, You're It",6214290
Lana Del Rey,Summertime Sadness,35192205
Lana Del Rey,Video Games,31766927
Lana Del Rey,Young and Beautiful,27223605
Lana Del Rey,Born to Die,32378429
Lana Del Rey,West Coast,35348609
Lana Del Rey,Diet Mountain Dew,25495873
Lana Del Rey,Brooklyn Baby,30896731
Lana Del Rey,National Anthem,25990616
Lana Del Rey,Radio,22630541
Lana Del Rey,Doin' Time,26077027
Ariana Grande,Into You,28265269
Ariana Grande,7 rings,29422866
Ariana Grande,One Last Time,19242942
Ariana Grande,"thank u, next",22283439
Ariana Grande,Love Me Harder,17518745
Ariana Grande,Dangerous Woman,18211167
Ariana Grande,we can't be friends (wait for your love),36771715
Ariana Grande,Side to Side,13811554
Ariana Grande,Santa Tell Me,10459959
Ariana Grande,Break Free,13267345
Gracie Abrams,That’s So True,22152945
Gracie Abrams,"I Love You, I'm Sorry",20954873
Gracie Abrams,"I miss you, I’m sorry",16101250
Gracie Abrams,Close to You,13968619
Gracie Abrams,Risk,12573283
Gracie Abrams,Mess It Up,10487497
Gracie Abrams,Feels Like,9680058
Gracie Abrams,I know it won't work,9681348
Gracie Abrams,21,8459864
Gracie Abrams,us. (feat. Taylor Swift),9145426
Conan Gray,Heather,22105719
Conan Gray,Maniac,15648599
Conan Gray,Memories,13182648
Conan Gray,Astronomy,11593483
Conan Gray,The Cut That Always Bleeds,11653182
Conan Gray,People Watching,14218162
Conan Gray,Wish You Were Sober,9900153
Conan Gray,Family Line,8937319
Conan Gray,Crush Culture,5080210
Conan Gray,Comfort Crowd,5795652
Tate McRae,greedy,24691908
Tate McRae,Sports car,23129634
Tate McRae,you broke me first,10094866
Tate McRae,exes,13437804
Tate McRae,Revolving door,15433770
Tate McRae,It's ok I'm ok,15994029
Tate McRae,Just Keep Watching (From F1® The Movie),10567579
Tate McRae,run for the hills,10877217
Tate McRae,she's all i wanna be,7673178
Tate McRae,TIT FOR TAT,8550862
Lorde,Royals,21975741
Lorde,Ribs,36044716
Lorde,Team,21253400
Lorde,Tennis Court,14734532
Lorde,Green Light,21448844
Lorde,Buzzcut Season,18532782
Lorde,Liability,19159487
Lorde,Supercut,22742991
Lorde,Perfect Places,17016534
Lorde,400 Lux,11864961
Chappell Roan,"Good Luck, Babe!",61227507
Chappell Roan,HOT TO GO!,34124846
Chappell Roan,Pink Pony Club,27748846
Chappell Roan,Red Wine Supernova,32816344
Chappell Roan,Casual,31577189
Chappell Roan,Femininomenon,20518855
Chappell Roan,My Kink Is Karma,20801678
Chappell Roan,The Subway,18409580
Chappell Roan,Naked in Manhattan,15636487
Chappell Roan,Picture You,13908974
طارق العربي طرقان,هزيم الرعد,17885
طارق العربي طرقان,ريمي,18109
طارق العربي طرقان,كونان,10368
طارق العربي طرقان,بابار فيل,9630
طارق العربي طرقان,عهد الأصدقاء,8775
طارق العربي طرقان,دراغون بول,7845
طارق العربي طرقان,صقور الارض,5128
طارق العربي طرقان,إيميلي,6757
طارق العربي طرقان,دايس,5255
طارق العربي طرقان,باتمان,4294
Mazzikas,انتي سبابي و سباب بلايا,23200
Mazzikas,ابطال الديجيتال,3100
Mazzikas,الحديقة السرية,2433
Mazzikas,سابق ولاحق,1714
Mazzikas,عهد الأصدقاء,1140
Mazzikas,سالي,1413
Mazzikas,اغنية القناص,733
Mazzikas,جزيرة الكنز,1016
Mazzikas,بداية القناص,977
Mazzikas,بابار فيل,741
SpaceToon,القناص,12499
SpaceToon,(Live) دراغون بول,5786
SpaceToon,(Live) أبطال الكرة,5742
SpaceToon,(Live) عهد الأصدقاء,4453
SpaceToon,(Live) باتمان,4546
SpaceToon,(Live) بليزينغ تينز,6381
SpaceToon,(Live) ون بيس,3625
SpaceToon,(Live) هزيم الرعد,2806
SpaceToon,(Live) الحديقة السرية,3720
SpaceToon,(Live) أبطال الديجيتال,2711
عزالدين الشويخ,(في وحدتي - (مع.هند السامعي,2194
عزالدين الشويخ,(ارحموني - (مع ايفا كوين,600
عزالدين الشويخ,‎أحلام,551
عزالدين الشويخ,‎الحياة أمل,763
عزالدين الشويخ,هذا الكون,219
عزالدين الشويخ,(الحياة أمل - (مع. إيمي هيتاري,122
عزالدين الشويخ,(أحلام - (مع. إيمي هيتاري,149
عزالدين الشويخ,ما خطبي ؟,44
عزالدين الشويخ,قل لي متى ؟,43
عزالدين الشويخ,(يا صديقي ) مع ستيلار شايني,50
Heart Hanin,أنا و أخي,1088
Heart Hanin,أنا و أختي - A Cappella,119
Heart Hanin,يما يا نبع حنان,23
Moussiqa,الف ليلة وليلى,2553
Moussiqa,لماذا نحن هنا,384
Moussiqa,يا حلو,847
Moussiqa,إنت عمري,593
Moussiqa,ايميلي,177
Moussiqa,المحقق كونان,197
Moussiqa,اوعدك,244
Moussiqa,انا واخي,119
Moussiqa,هزيم الرعد,99
Moussiqa,فكروني,214
HiDaTabs,ساموراي 7,183
HiDaTabs,دراغون بول,251
HiDaTabs,سالي,85
HiDaTabs,القناص,69
HiDaTabs,عهد الاصدقاء,105
HiDaTabs,لا تبكي يا صغيري,62
HiDaTabs,المحقق كونان,64
HiDaTabs,أدغال الديجيتال,55
HiDaTabs,سمبا,32
HiDaTabs,النمر المقنع,42
Rap AR Anime,السراب,464
Rap AR Anime,Legendary Idol Eriko Theme,409
Rap AR Anime,اغنية بداية القناص - سبيس تون,415
Rap AR Anime,Dragon Ball Super's OST - Desperate Plan,336
Rap AR Anime,Hunter X Hunter Theme,418
Rap AR Anime,Iron Kid Theme,221
Rap AR Anime,Kaze No Shoujo Emily Theme,297
Rap AR Anime,(Live) سلام دانك,150
Rap AR Anime,اغنية بداية دراغون بول - سبيس تون,226
Rap AR Anime,Robin Hood No Daibouken Theme,147
Emy Hetari,Naruto Shippuden Intro,631
Emy Hetari,Sawfa Ahlam,1045
Emy Hetari,Ahlam,933
Emy Hetari,Al hayat Amal,929
Emy Hetari,Shinrei Tantei Yakumo Outro,232
Emy Hetari,Boku Dake Ga Inai Machi,199
Emy Hetari,Nanatsu no Taizai Intro,333
Emy Hetari,Shigatsu wa Kimi no Uso Outro,226
Emy Hetari,Ma Hwa Zanbe,269
Emy Hetari,Vampire Knight Outro,141
DJ Smemo,شمس سطعت والجو جميل هذا اليوم,1778
DJ Smemo,ACHOURA,16
DJ Smemo,Machi Normal,15
DJ Smemo,Dihya,17
DJ Smemo,Dinero,29
DJ Smemo,Salondryas Star,26
DJ Smemo,Nergod Fl BOX,15
DJ Smemo,ROSALÍA & Travis Scott - TKN (DJ Smemo Remix),11
DJ Smemo,"THE SCOTTS, Travis Scott, Kid Cudi - THE SCOTTS (DJ Smemo Remix)",5
DJ Smemo,Heartless,7
Jordana,Better in the Dark,15603134
Jordana,Summer's Over,4934406
Jordana,Jump the Turnstile,2904187
Jordana,Sweet to Dream,1726612
Jordana,Lo on the Hi-Way,1211289
Jordana,Ordinary Day,848212
Jordana,The Party's Not Over,549882
Jordana,Push Me Away,172927
Jordana,We Get By,107896
Jordana,I Guess This is Life,123450
Eyedress,Jealous,22171398
Eyedress,Something About You,18610517
Eyedress,ROMANTIC LOVER,13159986
Eyedress,Cocaine Sunday,4485574
Eyedress,body dysmorphia,2466085
Eyedress,Can I See You Tonight?,1375839
Eyedress,Let's Skip to the Wedding,1176584
Eyedress,ANYTHING FOR YOU,1004965
Eyedress,Kiss Me Like It's The First Time,1161262
Eyedress,Separate Ways (feat. The Marías),862212
Mac DeMarco,Chamber of Reflection,28381652
Mac DeMarco,My Kind of Woman,29310753
Mac DeMarco,For the First Time,26802145
Mac DeMarco,Heart to Heart,24351972
Mac DeMarco,Freaking Out the Neighborhood,16133605
Mac DeMarco,Moonlight on the River,15808518
Mac DeMarco,Still Beating,10895826
Mac DeMarco,No Other Heart,12667670
Mac DeMarco,Watching Him Fade Away,11234089
Mac DeMarco,Salad Days,7821652
Roar,I Can't Handle Change,20209925
Roar,Christmas Kids,10113535
Roar,Poor Grammar,1774017
Roar,Heart For Brains,1467301
Roar,The Comfort of a Laugh Track,1499667
Roar,Duck Or Ape,790552
Roar,Just A Fan,489279
Roar,Chinese Tattoo,516022
Roar,Flightless Bird,541141
Roar,Baby Bride Rag,466279
Current Joys,Kids,10650438
Current Joys,Blondie,11221000
Current Joys,New Flesh,9480590
Current Joys,Fear,6507420
Current Joys,Symphonia IX,7195932
Current Joys,Become the Warm Jets,4991274
Current Joys,A Different Age,2848335
Current Joys,Televisions,1872683
Current Joys,You Broke My Heart,1595015
Current Joys,My Blood,748330
VACATIONS,Telephones,20725470
VACATIONS,Young,16366527
VACATIONS,Relax,6896438
VACATIONS,Home,4108709
VACATIONS,Honey,3773959
VACATIONS,Friends,3276861
VACATIONS,Away,2688457
VACATIONS,Next Exit,2241375
VACATIONS,Day Dreamin,1561220
VACATIONS,Moving Out,1055748
Cults,Always Forever,19253459
Cults,Gilded Lily,11260361
Cults,Go Outside,3398343
Cults,TV Dream,1532595
Cults,You Know What I Mean,2125183
Cults,Bad Things,1622978
Cults,Monolithic,1535838
Cults,Abducted,1835992
Cults,Most Wanted,1033761
Cults,Never Saw The Point,961292
Alex G,Sarah,20428073
Alex G,Mary,16636741
Alex G,Treehouse,11579764
Alex G,Advice,10270316
Alex G,16 Mirrors,11878902
Alex G,Forever,8648654
Alex G,Change,7089655
Alex G,Mis,8349485
Alex G,Things to Do,7840917
Alex G,Harvey,9634783
juju<3,Wasted Summers,8834565
juju<3,Wasted Summers - Sped Up,75523
juju<3,Wasted Summers - Slowed Down,40425
juju<3,Girls Like You,43512
juju<3,happy walk,25650
juju<3,empty shelves,17051
juju<3,lend me love,11232
juju<3,Tongue Tied,12599
juju<3,last dance,6914
juju<3,Up in Flames,3812
Yot Club,YKWIM?,17846850
Yot Club,no way !,2700393
Yot Club,Japan,2906740
Yot Club,Fly Out West,1776171
Yot Club,Landlord,1320490
Yot Club,down bad,770848
Yot Club,Fly Out West - Single Version,585192
Yot Club,Comfort Zone,641639
Yot Club,Dog Song,492663
Yot Club,Spiral Stairs,395994
Justice,Genesis,7385145
Justice,D.A.N.C.E.,6650718
Justice,D.A.N.C.E,5266866
Justice,DVNO,4967323
Justice,Let There Be Light,3593569
Justice,Waters of Nazareth,3798191
Justice,Stress,3575714
Justice,Neverender,4308664
Justice,Phantom,3487837
Justice,Phantom Pt. II,3143698
Modjo,Lady - Hear me tonight,11398126
Modjo,Lady (Hear Me Tonight),1753776
Modjo,Chillin',968396
Modjo,Acknowledgement,603928
Modjo,Music Takes You Back,677109
Modjo,Lady,670946
Modjo,Rollercoaster,199233
Modjo,No More Tears,221527
Modjo,Too Good to Be True,151530
Modjo,On Fire,175239
Stardust,Music Sounds Better With You,5193849
Stardust,Music Sounds Better With You - Radio Edit,2879766
Stardust,"Music Sounds Better With You (12"" Club Mix)",117218
Stardust,Music Sounds Better With You (radio edit),242012
Stardust,You're Nobody 'Til Somebody Loves You,36892
Stardust,Music Sounds Better With You ( Radio Edit),31902
Stardust,"River, Stay 'Way From My Door",17461
Stardust,"Music Sounds Better With You - 12"" Club Mix",64628
Stardust,Musics sounds better with you,77200
Stardust,Music Sounds Better With You (Bob Sinclair Remix),15701
Thomas Bangalter,Club Soda,172745
Thomas Bangalter,Spinal Scratch,138101
Thomas Bangalter,Night Beats,101920
Thomas Bangalter,Extra Dry,93864
Thomas Bangalter,Tempus Edax Rerum,66783
Thomas Bangalter,What to Do,228190
Thomas Bangalter,Colossus,81848
Thomas Bangalter,Outrun,90533
Thomas Bangalter,Outrage,74797
Thomas Bangalter,Paris by Night,68179
Kavinsky,Nightcall,14092484
Kavinsky,Odd Look,3481336
Kavinsky,Pacific Coast Highway,902342
Kavinsky,Testarossa Autodrive,930718
Kavinsky,Protovision,956094
Kavinsky,Roadgame,809646
Kavinsky,Testarossa (Sebastian Remix),542069
Kavinsky,Blizzard,715961
Kavinsky,Wayfarer,534436
Kavinsky,Grand Canyon,593887
Cassius,Toop Toop,788484
Cassius,I <3 U So,882863
Cassius,Feeling for You,490402
Cassius,The Sound of Violence,328365
Cassius,Cassius 1999,174144
Cassius,Cassius 1999 (radio edit),210629
Cassius,La Mouche,128441
Cassius,See Me Now,127294
Cassius,Rock Number One,156290
Cassius,Cassius 1999 - radio edit,160167
Sebastian,Embody,733525
Sebastian,Ross Ross Ross,547517
Sebastian,Greel,264224
Sebastian,Arabest,335751
Sebastian,Walkman,312107
Sebastian,Kindercut,262464
Sebastian,Hudson River,231685
Sebastian,Dolami,214687
Sebastian,Motor,232536
Sebastian,Tetra,244234
Gesaffelstein,Lost in the Fire (feat. The Weeknd),15166180
Gesaffelstein,Pursuit,1284931
Gesaffelstein,Opr,1307045
Gesaffelstein,Aleph,992436
Gesaffelstein,Hate or Glory,625124
Gesaffelstein,Viol,648450
Gesaffelstein,Destinations,515193
Gesaffelstein,Obsession,495521
Gesaffelstein,Blast Off (feat. Pharrell Williams),589067
Gesaffelstein,Hellifornia,353300
Breakbot,Baby I'm Yours,3251094
Breakbot,Baby I'm Yours (Feat. Irfane),488912
Breakbot,Make You Mine,310230
Breakbot,Shades Of Black,297757
Breakbot,Baby I'm Yours - feat. Irfrane,404521
Breakbot,Break of Dawn,279181
Breakbot,Easy Fraction,228823
Breakbot,Baby I'm Yours - feat. Irfane,280650
Breakbot,Fantasy - feat. Ruckazoid,172005
Breakbot,Fantasy,176198
The Chemical Brothers,Hey Boy Hey Girl,4059596
The Chemical Brothers,Galvanize,4271457
The Chemical Brothers,Block Rockin' Beats,2465709
The Chemical Brothers,Let Forever Be,2110462
The Chemical Brothers,Star Guitar,2014985
The Chemical Brothers,Leave Home,1233726
The Chemical Brothers,Go,2321975
The Chemical Brothers,Out of Control,1252760
The Chemical Brothers,Setting Sun,1174899
The Chemical Brothers,The Salmon Dance,1430069
Qideyt,القناص,4706
Qideyt,أنا وأختي,2715
Qideyt,أنا وأخي,2000
Qideyt,لا تبك يا صغيري,1833
Qideyt,لن أعود للوراء,1627
Qideyt,عهد الأصدقاء,1420
Qideyt,دراغون بول,1243
Qideyt,في يوم ضاقت بي الدنيا,732
Qideyt,كان حلما,958
Qideyt,هزيم الرعد,570
Spacepower,السراب,522
Spacepower,مدينة الصفصاف,35
Spacepower,بلاك كات,41
Spacepower,إيميلي,33
Spacepower,رامي الصياد الصغير,27
Spacepower,ينبوع الأحلام,25
Spacepower,القط الأسود,41
Spacepower,في عالم من الصور,39
Spacepower,Fushigi Yuugi Theme,68
Spacepower,رسمت بيتا صغيرا,60
Toyor Baby,حميدو,1216
Toyor Baby,‏الأرنب والثعلب,1448
Toyor Baby,ألوان,1509
Toyor Baby,دجاجتي الكبيرة,734
Toyor Baby,حمار جحا,1133
Toyor Baby,البرتقالة,356
Toyor Baby,الليمونة والبرتقالة,442
Toyor Baby,الدودة,468
Toyor Baby,الأرنب والسلحفاة,381
Toyor Baby,الفواكه,240
Fadia,Tourah,28389
Fadia,Merafraf,5128
Fadia,Al Ahwa Al Mansiya,1853
Fadia,Ya Shatil Aghani,916
Fadia,Ya Shams Bladi,535
Fadia,Lamma Tall Min Achoubak,183
Fadia,Cik cik bum bum,97
Fadia,Wain El Shakhs,51
Fadia,Ana El Dehbayi,69
Fadia,Cinta Harus Ada Rindu (ACA DUM DUM),24
Mawshahat Andalousyia,Salb EL Noum,2127
Mawshahat Andalousyia,Salb El Nawm Khayal,2545
Mawshahat Andalousyia,Gadak El Ghays,1391
Mawshahat Andalousyia,Lama Bada Ytathn,433
Mawshahat Andalousyia,Nazra Ya Halwaty,642
Mawshahat Andalousyia,Gadak El Ghays(Concert),610
Mawshahat Andalousyia,Zaman El Wasl,437
Mawshahat Andalousyia,Lama Bada Yatathna,537
Mawshahat Andalousyia,Katli Bghnag El Kahl,278
Mawshahat Andalousyia,Ya Maleh El Lama,403
Kurt Cobain,And I Love Her,5903129
Kurt Cobain,Burn The Rain,972413
Kurt Cobain,Sappy - Early Demo,627352
Kurt Cobain,Poison's Gone,508858
Kurt Cobain,Beans,337261
Kurt Cobain,She Only Lies,339331
Kurt Cobain,Been A Son - Early Demo,152767
Kurt Cobain,The Happy Guitar,147766
Kurt Cobain,Letters To Frances,179258
Kurt Cobain,What More Can I Say,169504
The Jins,She Said,1186600
The Jins,Metro,168245
The Jins,Death Wish,104325
The Jins,I Can't Let My Lover Go,97066
The Jins,On Your Own,73098
The Jins,Jack Skellington,31296
The Jins,Crutch,42774
The Jins,You’re Going Far,37638
The Jins,Effigy,46594
The Jins,A Clue,32223
Alice in Chains,Man in the Box,15573594
Alice in Chains,Nutshell,16470660
Alice in Chains,Would?,7722953
Alice in Chains,Would? (2022 remaster),10052778
Alice in Chains,Them Bones,5953200
Alice in Chains,Rooster,5622727
Alice in Chains,No Excuses,6163080
Alice in Chains,Heaven Beside You,4752154
Alice in Chains,Down in a Hole,4813420
Alice in Chains,I Stay Away,4845429
Mudhoney,Touch Me I'm Sick,1637141
Mudhoney,Sweet Young Thing Ain't Sweet No More,528585
Mudhoney,Hate The Police,413561
Mudhoney,In 'N' Out Of Grace,298915
Mudhoney,You Got It (Keep It Outta My Face),258682
Mudhoney,Good Enough,234488
Mudhoney,Suck You Dry,239315
Mudhoney,No One Has,209477
Mudhoney,Need,249727
Mudhoney,Burn It Clean,186666
Soundgarden,Black Hole Sun,24187810
Soundgarden,Fell on Black Days,7227147
Soundgarden,Spoonman,5535401
Soundgarden,The Day I Tried to Live,3671969
Soundgarden,My Wave,2088217
Soundgarden,Let Me Drown,2049153
Soundgarden,Burden in My Hand,2540933
Soundgarden,Rusty Cage,2168502
Soundgarden,Superunknown,1980659
Soundgarden,Outshined,2029978
Meat Puppets,Plateau,950126
Meat Puppets,Backwater,1001697
Meat Puppets,Lake of Fire,833570
Meat Puppets,Aurora Borealis,644894
Meat Puppets,Up on the Sun,559922
Meat Puppets,"Oh, Me",461458
Meat Puppets,Split Myself in Two,322551
Meat Puppets,I'm a Mindless Idiot,307457
Meat Puppets,Magic Toy Missing,272755
Meat Puppets,Lost,339969
Hole,Celebrity Skin,9379893
Hole,Violet,7096853
Hole,Doll Parts,5331710
Hole,Malibu,4829143
Hole,Petals,4991441
Hole,Miss World,4112136
Hole,Jennifer's Body,3754849
Hole,Plump,2405251
Hole,Asking for It,2338124
Hole,I Think That I Would Die,2108431
Stone Temple Pilots,Plush,5812999
Stone Temple Pilots,Interstate Love Song,4168158
Stone Temple Pilots,Creep,3743727
Stone Temple Pilots,Interstate Love Song - 2019 Remaster,5660817
Stone Temple Pilots,Vasoline,2137754
Stone Temple Pilots,Trippin' on a Hole in a Paper Heart,2588685
Stone Temple Pilots,Sex Type Thing,2230004
Stone Temple Pilots,Big Empty,1911323
Stone Temple Pilots,Sour Girl,1711961
Stone Temple Pilots,Wicked Garden,1454656
Green River,This Town,266283
Green River,Swallow My Pride,306342
Green River,Ozzie,147803
Green River,P.C.C.,150968
Green River,Queen Bitch,144882
Green River,Rehab Doll,143600
Green River,Unwind,137364
Green River,Forever Means,130530
Green River,Baby Takes,124172
Green River,Ain't Nothing To Do,98480
Mad Season,River of Deceit,2156999
Mad Season,Wake Up,1756278
Mad Season,I Don't Know Anything,1255299
Mad Season,Long Gone Day,1282741
Mad Season,I'm Above,1037891
Mad Season,Lifeless Dead,825532
Mad Season,X-Ray Mind,754045
Mad Season,All Alone,566174
Mad Season,November Hotel,546930
Mad Season,Artificial Red,519507
Cheb Akil,Aachk El Memnou3,23218
Cheb Akil,Mazel mazel,12001
Cheb Akil,El 3achk mamnou3,13012
Cheb Akil,Histoire Qdima,2853
Cheb Akil,Diroulha Laakal,3700
Cheb Akil,Diroulha El aakal - Live,2106
Cheb Akil,Galbi 3achakli fiha sif,2108
Cheb Akil,N'direk amour,1466
Cheb Akil,Jak El Mersoul,1178
Cheb Akil,Wesh tesswa,1260
Fayçal Azizi,Kif Leme'ani,15425
Fayçal Azizi,Warda Ala Warda,25792
Fayçal Azizi,Hak a Mama,10368
Fayçal Azizi,Meftah Leqloub,2597
Fayçal Azizi,Qolli Alash Kwitini,2434
Fayçal Azizi,Tkellem,1704
Fayçal Azizi,Memlook,1347
Fayçal Azizi,K'lma (Live Session),781
Fayçal Azizi,Nadem,1006
Fayçal Azizi,Kif Mana (Wake up Call),1346
Cheb Amrou,Qui aurait pu prédire notre rencontre,8070
Cheb Amrou,C'est toi que jaime,3571
Cheb Amrou,Mon cœur est mon ennemi,2397
Cheb Amrou,Enti li nebghi,2346
Cheb Amrou,galbi adwiya,1096
Cheb Amrou,Jamais je ne t'oublierai,521
Cheb Amrou,Mon mal persiste,438
Cheb Amrou,J'étais tranquille,668
Cheb Amrou,J'ai voulu abandonner,423
Cheb Amrou,Nouvelles négatives,344
Labess,El Kess Yaddour,24130
Labess,Babour El Leuh,16494
Labess,Lampedusa,7616
Labess,Valérie,11302
Labess,Ya Denya,9850
Labess,Les Septs Couleurs,7230
Labess,Dawina,5937
Labess,Au bord de l'eau,5529
Labess,...Had El Khatem...,4553
Labess,Dans Mon Désert,4343
el dey,Maria,14725
el dey,Babour Ellouh,1505
el dey,Ana Djazairi,1095
el dey,Leïla,1070
el dey,Ya Lili,535
el dey,Achak Ezzine,674
el dey,Edjrou Lia أجرو ليا,507
el dey,Flamengnawa,480
el dey,Bnat El Bahdja,344
el dey,Ghir Ensini (Prélude),287
Hayaf YASSINE,موشح أقول وقد,805
Hayaf YASSINE,جادك الغيث,129
Hayaf YASSINE,موشح من كنت,213
Hayaf YASSINE,موشح صحت وجدا,184
Hayaf YASSINE,موشّح يا شادي الألحان,63
Hayaf YASSINE,موشح والذي أسكر,319
Hayaf YASSINE,Taqāsīm Sanṭūr Aqsāq,44
Hayaf YASSINE,أهزوجة ليا وليا,78
Hayaf YASSINE,أهزوجة يا ويل حالي,59
Hayaf YASSINE,رقصة ستي,29
Ghada Shbeir,Wal Hawa Thalithouna,7701
Ghada Shbeir,Lamma Bada Yatathanna,3833
Ghada Shbeir,Ahwa Qamaran,2069
Ghada Shbeir,Ahwa Kamaran,1777
Ghada Shbeir,Ya Maryamou L-Bikrou,1714
Ghada Shbeir,Kom Bina Hana Al Humaya,1531
Ghada Shbeir,Li Habiboun,1294
Ghada Shbeir,Sloutekh 'aman,1313
Ghada Shbeir,Malal Kasat,1003
Ghada Shbeir,Emar Qayso,752
Oumeima El Khalil,El Helwa Di,37628
Oumeima El Khalil,Asfour,3859
Oumeima El Khalil,Ana Rah Ghannik,2501
Oumeima El Khalil,W Ilt Biktiblak,647
Oumeima El Khalil,Idayk,760
Oumeima El Khalil,Ijtah,430
